date,tenor,yield_to_maturity,instrument
2023-04-04,,5.08,Emerging Markets High Yield Corporate Bond
2023-04-05,,5.06,Emerging Markets High Yield Corporate Bond
2023-04-06,,5.06,Emerging Markets High Yield Corporate Bond
2023-04-10,,5.19,Emerging Markets High Yield Corporate Bond
2023-04-11,,5.18,Emerging Markets High Yield Corporate Bond
2023-04-12,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-13,,5.16,Emerging Markets High Yield Corporate Bond
2023-04-14,,5.21,Emerging Markets High Yield Corporate Bond
2023-04-17,,5.28,Emerging Markets High Yield Corporate Bond
2023-04-18,,5.25,Emerging Markets High Yield Corporate Bond
2023-04-19,,5.28,Emerging Markets High Yield Corporate Bond
2023-04-20,,5.23,Emerging Markets High Yield Corporate Bond
2023-04-21,,5.25,Emerging Markets High Yield Corporate Bond
2023-04-24,,5.2,Emerging Markets High Yield Corporate Bond
2023-04-25,,5.07,Emerging Markets High Yield Corporate Bond
2023-04-26,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-27,,5.22,Emerging Markets High Yield Corporate Bond
2023-04-28,,5.14,Emerging Markets High Yield Corporate Bond
2023-04-30,,5.15,Emerging Markets High Yield Corporate Bond
2023-05-01,,5.29,Emerging Markets High Yield Corporate Bond
2023-05-02,,5.17,Emerging Markets High Yield Corporate Bond
2023-05-03,,5.09,Emerging Markets High Yield Corporate Bond
2023-05-04,,5.13,Emerging Markets High Yield Corporate Bond
2023-05-05,,5.19,Emerging Markets High Yield Corporate Bond
2023-05-08,,5.28,Emerging Markets High Yield Corporate Bond
2023-05-09,,5.3,Emerging Markets High Yield Corporate Bond
2023-05-10,,5.2,Emerging Markets High Yield Corporate Bond
2023-05-11,,5.17,Emerging Markets High Yield Corporate Bond
2023-05-12,,5.23,Emerging Markets High Yield Corporate Bond
2023-05-15,,5.26,Emerging Markets High Yield Corporate Bond
2023-05-16,,5.32,Emerging Markets High Yield Corporate Bond
2023-05-17,,5.36,Emerging Markets High Yield Corporate Bond
2023-05-18,,5.44,Emerging Markets High Yield Corporate Bond
2023-05-19,,5.46,Emerging Markets High Yield Corporate Bond
2023-05-22,,5.47,Emerging Markets High Yield Corporate Bond
2023-05-23,,5.46,Emerging Markets High Yield Corporate Bond
2023-05-24,,5.51,Emerging Markets High Yield Corporate Bond
2023-05-25,,5.58,Emerging Markets High Yield Corporate Bond
2023-05-26,,5.59,Emerging Markets High Yield Corporate Bond
2023-05-29,,5.6,Emerging Markets High Yield Corporate Bond
2023-05-30,,5.45,Emerging Markets High Yield Corporate Bond
2023-05-31,,5.43,Emerging Markets High Yield Corporate Bond
2023-06-01,,5.38,Emerging Markets High Yield Corporate Bond
2023-06-02,,5.47,Emerging Markets High Yield Corporate Bond
2023-06-05,,5.46,Emerging Markets High Yield Corporate Bond
2023-06-06,,5.47,Emerging Markets High Yield Corporate Bond
2023-06-07,,5.54,Emerging Markets High Yield Corporate Bond
2023-06-08,,5.48,Emerging Markets High Yield Corporate Bond
2023-06-09,,5.53,Emerging Markets High Yield Corporate Bond
2023-06-12,,5.51,Emerging Markets High Yield Corporate Bond
2023-06-13,,5.58,Emerging Markets High Yield Corporate Bond
2023-06-14,,5.57,Emerging Markets High Yield Corporate Bond
2023-06-15,,5.48,Emerging Markets High Yield Corporate Bond
2023-06-16,,5.51,Emerging Markets High Yield Corporate Bond
2023-06-19,,5.51,Emerging Markets High Yield Corporate Bond
2023-06-20,,5.48,Emerging Markets High Yield Corporate Bond
2023-06-21,,5.47,Emerging Markets High Yield Corporate Bond
2023-06-22,,5.54,Emerging Markets High Yield Corporate Bond
2023-06-23,,5.51,Emerging Markets High Yield Corporate Bond
2023-06-26,,5.48,Emerging Markets High Yield Corporate Bond
2023-06-27,,5.52,Emerging Markets High Yield Corporate Bond
2023-06-28,,5.48,Emerging Markets High Yield Corporate Bond
2023-06-29,,5.58,Emerging Markets High Yield Corporate Bond
2023-06-30,,5.55,Emerging Markets High Yield Corporate Bond
2023-07-03,,5.59,Emerging Markets High Yield Corporate Bond
2023-07-04,,5.59,Emerging Markets High Yield Corporate Bond
2023-07-05,,5.63,Emerging Markets High Yield Corporate Bond
2023-07-06,,5.73,Emerging Markets High Yield Corporate Bond
2023-07-07,,5.73,Emerging Markets High Yield Corporate Bond
2023-07-10,,5.68,Emerging Markets High Yield Corporate Bond
2023-07-11,,5.65,Emerging Markets High Yield Corporate Bond
2023-07-12,,5.52,Emerging Markets High Yield Corporate Bond
2023-07-13,,5.41,Emerging Markets High Yield Corporate Bond
2023-07-14,,5.49,Emerging Markets High Yield Corporate Bond
2023-07-17,,5.49,Emerging Markets High Yield Corporate Bond
2023-07-18,,5.47,Emerging Markets High Yield Corporate Bond
2023-07-19,,5.42,Emerging Markets High Yield Corporate Bond
2023-07-20,,5.51,Emerging Markets High Yield Corporate Bond
2023-07-21,,5.5,Emerging Markets High Yield Corporate Bond
2023-07-24,,5.52,Emerging Markets High Yield Corporate Bond
2023-07-25,,5.53,Emerging Markets High Yield Corporate Bond
2023-07-26,,5.49,Emerging Markets High Yield Corporate Bond
2023-07-27,,5.58,Emerging Markets High Yield Corporate Bond
2023-07-28,,5.53,Emerging Markets High Yield Corporate Bond
2023-07-31,,5.52,Emerging Markets High Yield Corporate Bond
2023-08-01,,5.59,Emerging Markets High Yield Corporate Bond
2023-08-02,,5.63,Emerging Markets High Yield Corporate Bond
2023-08-03,,5.72,Emerging Markets High Yield Corporate Bond
2023-08-04,,5.6,Emerging Markets High Yield Corporate Bond
2023-08-07,,5.62,Emerging Markets High Yield Corporate Bond
2023-08-08,,5.58,Emerging Markets High Yield Corporate Bond
2023-08-09,,5.58,Emerging Markets High Yield Corporate Bond
2023-08-10,,5.66,Emerging Markets High Yield Corporate Bond
2023-08-11,,5.72,Emerging Markets High Yield Corporate Bond
2023-08-14,,5.75,Emerging Markets High Yield Corporate Bond
2023-08-15,,5.77,Emerging Markets High Yield Corporate Bond
2023-08-16,,5.83,Emerging Markets High Yield Corporate Bond
2023-08-17,,5.84,Emerging Markets High Yield Corporate Bond
2023-08-18,,5.83,Emerging Markets High Yield Corporate Bond
2023-08-21,,5.9,Emerging Markets High Yield Corporate Bond
2023-08-22,,5.89,Emerging Markets High Yield Corporate Bond
2023-08-23,,5.76,Emerging Markets High Yield Corporate Bond
2023-08-24,,5.79,Emerging Markets High Yield Corporate Bond
2023-08-25,,5.8,Emerging Markets High Yield Corporate Bond
2023-08-28,,5.78,Emerging Markets High Yield Corporate Bond
2023-08-29,,5.68,Emerging Markets High Yield Corporate Bond
2023-08-30,,5.68,Emerging Markets High Yield Corporate Bond
2023-08-31,,5.66,Emerging Markets High Yield Corporate Bond
2023-09-01,,5.73,Emerging Markets High Yield Corporate Bond
2023-09-04,,5.73,Emerging Markets High Yield Corporate Bond
2023-09-05,,5.8,Emerging Markets High Yield Corporate Bond
2023-09-06,,5.85,Emerging Markets High Yield Corporate Bond
2023-09-07,,5.81,Emerging Markets High Yield Corporate Bond
2023-09-08,,5.8,Emerging Markets High Yield Corporate Bond
2023-09-11,,5.82,Emerging Markets High Yield Corporate Bond
2023-09-12,,5.82,Emerging Markets High Yield Corporate Bond
2023-09-13,,5.81,Emerging Markets High Yield Corporate Bond
2023-09-14,,5.83,Emerging Markets High Yield Corporate Bond
2023-09-15,,5.86,Emerging Markets High Yield Corporate Bond
2023-09-18,,5.85,Emerging Markets High Yield Corporate Bond
2023-09-19,,5.89,Emerging Markets High Yield Corporate Bond
2023-09-20,,5.89,Emerging Markets High Yield Corporate Bond
