"Date","Price","Open","High","Low","Change %"
"06/17/2020","115.171","115.692","116.161","114.422","-0.56%"
"06/16/2020","115.823","113.273","117.147","112.152","1.41%"
"06/15/2020","114.216","114.100","115.310","113.884","0.02%"
"06/14/2020","114.188","113.417","114.198","113.417","0.86%"
"06/12/2020","113.210","114.405","114.425","112.995","-0.98%"
"06/11/2020","114.330","117.079","118.482","114.223","-2.05%"
"06/10/2020","116.728","115.456","116.898","115.259","1.09%"
"06/09/2020","115.468","114.245","115.966","114.245","1.16%"
"06/08/2020","114.139","115.081","115.942","113.612","-0.80%"
"06/07/2020","115.062","115.200","115.200","115.062","-0.22%"
"06/05/2020","115.312","114.077","115.528","111.375","1.35%"
"06/04/2020","113.781","115.175","115.303","113.694","-1.20%"
"06/03/2020","115.166","114.974","115.166","113.626","-0.02%"
"06/02/2020","115.192","115.945","116.165","115.143","-0.39%"
"06/01/2020","115.638","115.914","115.923","114.842","-0.18%"
"05/31/2020","115.843","115.983","115.983","115.843","-0.16%"
"05/29/2020","116.034","114.740","116.198","114.594","1.37%"
"05/28/2020","114.468","115.019","115.417","114.419","-0.45%"
"05/27/2020","114.990","115.534","115.784","114.635","-0.22%"
"05/26/2020","115.248","116.435","116.495","115.048","-1.05%"
"05/25/2020","116.468","116.391","116.483","116.391","0.07%"
"05/24/2020","116.391","116.391","116.391","116.391","0.01%"
"05/22/2020","116.384","116.500","117.448","116.304","0.17%"
"05/21/2020","116.181","112.979","116.448","112.979","1.80%"
"05/20/2020","114.132","113.426","114.470","112.797","0.66%"
"05/19/2020","113.383","112.064","113.427","111.537","1.25%"
"05/18/2020","111.983","111.981","112.941","110.331","0.01%"
"05/17/2020","111.967","112.028","112.028","111.967","-0.05%"
"05/15/2020","112.024","111.350","112.238","110.926","0.43%"
"05/14/2020","111.549","110.662","111.838","110.620","0.96%"
"05/13/2020","110.489","110.264","111.074","110.128","0.43%"
"05/12/2020","110.014","108.310","110.108","108.122","1.50%"
"05/11/2020","108.393","109.502","109.865","107.801","-1.06%"
"05/10/2020","109.553","109.585","109.623","109.553","-0.25%"
"05/08/2020","109.833","110.353","111.060","109.104","-0.61%"
"05/07/2020","110.503","110.904","112.083","110.282","0.00%"
"05/06/2020","110.501","112.732","112.732","110.051","-1.91%"
